统一社会信用代码,公司名称,企业标准名,所属城市,所属区县,成立日期,企业类型标签,产业链环节,产业链判定依据,成立年份分层,专利活跃度分层,样本分层标签,专利总量,累计发明申请量,近3年发明申请量,首次申请年份,最近申请年份,有专利申请年份数,技术持续性,技术领域广度,联合申请占比,年度发明申请量_2010,年度发明申请量_2011,年度发明申请量_2012,年度发明申请量_2013,年度发明申请量_2014,年度发明申请量_2015,年度发明申请量_2016,年度发明申请量_2017,年度发明申请量_2018,年度发明申请量_2019,年度发明申请量_2020,年度发明申请量_2021,年度发明申请量_2022,年度发明申请量_2023,年度发明申请量_2024
91440300MADFQJH81G,深圳市智源万联科技有限公司,深圳市智源万联科技有限公司,深圳市,南山区,2024-04-12,服务平台类,中游,系统集成,2023-2025,中专利,深圳市|2023-2025|服务平台类|中专利,1,1,1,2024,2024,1,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91440300MACM90CQ7A,东融低空经济产业（深圳）有限公司,东融低空经济产业(深圳)有限公司,深圳市,盐田区,2023-06-30,产业运营类,中游,航空,2023-2025,零专利,深圳市|2023-2025|产业运营类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5EW8TA18,中亚天空（深圳）科技有限公司,中亚天空(深圳)科技有限公司,深圳市,龙华区,2017-12-01,产业运营类,中游,无人机、飞行器、航空、智能无人飞行器、航空器,2010-2019,零专利,深圳市|2010-2019|产业运营类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5G40336F,星球物联网科技（深圳）有限公司,星球物联网科技(深圳)有限公司,深圳市,龙岗区,2020-03-26,投资发展类,下游,服务、培训,2020-2022,零专利,深圳市|2020-2022|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MADKPDL559,深圳市皓宇低空科技有限公司,深圳市皓宇低空科技有限公司,深圳市,福田区,2024-05-28,投资发展类,中游,飞行器、航空、智能无人飞行器,2023-2025,零专利,深圳市|2023-2025|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MAEERM678P,深圳擎空低空经济有限公司,深圳擎空低空经济有限公司,深圳市,宝安区,2025-03-27,服务平台类,中游,飞行器、智能无人飞行器,2023-2025,零专利,深圳市|2023-2025|服务平台类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5FLFKW4K,深圳蜂巢互联科技有限公司,深圳蜂巢互联科技有限公司,深圳市,龙岗区,2019-05-07,投资发展类,下游,服务,2010-2019,零专利,深圳市|2010-2019|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91420111MA4KU4X662,软通智慧科技有限公司,软通智慧科技有限公司,深圳市,罗湖区,2017-05-15,服务平台类,中游,系统集成,2010-2019,零专利,深圳市|2010-2019|服务平台类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914404000684993620,珠海市双捷科技有限公司,珠海市双捷科技有限公司,珠海市,香洲区,2013-05-09,科技研发类,中游,飞行器、智能无人飞行器,2010-2019,中专利,珠海市|2010-2019|科技研发类|中专利,21,21,6,2018,2024,7,0.5833,17,0.0,0,0,0,0,0,0,0,0,2,3,7,3,1,1,4
91440400304050613H,珠海紫燕无人飞行器有限公司,珠海紫燕无人飞行器有限公司,珠海市,香洲区,2014-05-16,投资发展类,中游,飞行器、航空、智能无人飞行器、航空器、测绘,2010-2019,中专利,珠海市|2010-2019|投资发展类|中专利,9,9,9,2023,2024,2,0.1818,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
91440402MA7F2J5E28,珠海安擎科技有限公司,珠海安擎科技有限公司,珠海市,香洲区,2022-01-14,服务平台类,中游,飞行器、智能无人飞行器、测绘、系统集成,2020-2022,中专利,珠海市|2020-2022|服务平台类|中专利,4,4,4,2022,2024,2,0.6667,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
91440400MA4UQCBU13,珠海天晴航空航天科技有限公司,珠海天晴航空航天科技有限公司,珠海市,金湾区,2016-06-06,服务平台类,中游,飞行器、航空、航天、智能无人飞行器、航空器,2010-2019,中专利,珠海市|2010-2019|服务平台类|中专利,2,2,0,2017,2017,1,0.1111,2,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
